001	ecbf09f27770f6d9a0064a06be4b749d3e817c4cd5d645b18cb75a4107ad54d4
002	52a51ec988144492f26990a28bdcc15e9134d022327865811d8777b9047cf509
003	6b223fa0934a88d775b349a90ce135e39bab0eb99316467aacffffb0b2188f4b
004	f22675bc6fe0e032f55e37ae02bc7336f0616f30f6e69f98b2669ba62b7df100
005	5cd21b4fb0a70ede5d23c613ca1f611a6aa66e26dcfce1afa841f8b08fc2e7c6
006	04960e8f925a93cd7f9e3453975e25760302eb9310e604289facbef9e6bbbdeb
007	5f7c77db37bbf13177433478f5f5ada2d3dbf8c5deb3534bfd408d31b23d2e55
009	87563c56fe96b48a397cdbc8850d018689d1c06e83c6e96a24c92423569b0390
010	b55c960c5679ad0a7d43c1e820fb367ae2d75c245e80a23e41db6d719a45f6b1
012	7323be1fd04d20eba5c180f9ae82cd6dbe5947e5fd6f94bd173c5c7d7ce8616c
014	344b264a88dee447bb6a680324e259d6e74060845f670781f90afcd2227e6a5e
015	b205d7c9e4095ae30dc6adcaee3bb0bf4c4268413331254930e8672872cb34cc
021	f2a09eacd262d34e696708ab7e4d01c59fadd7704aa6823afa769467142197e6
031	df7db6d66399d5fdf68b0557bb49b94798a64ebfef711dcc60799168fe467f33
039	f964eafdc685eb25641b61a7e613b893063b577ca9b851350519bc6b04842d74
045	18fb0f68c9f9d235cab7498167d5feb89acd6e38aca882129abdc5bbc2701e8e
053	9e0e022c4f4fff48a9e45d22a3f0be3f7c20a91c71078aec9d39026e9bb4975e
076	a2105acac826c98e5ac4e79a01ed2b860baf33991926c36b4d0763c0b1508c46
